"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1500";"PV26  ";"2006JJ00";"106";"5.1";"5.1";"16756";"3.2";"3.2";"272931";"4573"
"1505";"PV26  ";"2007JJ00";"112.6";"6.2";"6.2";"15901";"-5.1";"-5.1";"290511";"4619"
"1510";"PV26  ";"2008JJ00";"117.1";"4";"4";"15116";"-4.9";"-4.9";"301065";"4551"
"1515";"PV26  ";"2009JJ00";"113.7";"-2.9";"-2.9";"10113";"-33.1";"-33.1";"280228";"2834"
"1520";"PV26  ";"2010JJ00";"111.1";"-2.3";"-2.3";"10273";"1.6";"1.6";"283922";"2917"
"1525";"PV26  ";"2011JJ00";"108.3";"-2.5";"-2.5";"9978";"-2.9";"-2.9";"282944";"2823"
"1530";"PV26  ";"2012JJ00";"101.2";"-6.6";"-6.6";"9504";"-4.8";"-4.8";"267112";"2539"
"1535";"PV26  ";"2013JJ00";"94.5";"-6.6";"-6.6";"8642";"-9.1";"-9.1";"249506";"2156"
"1540";"PV26  ";"2014JJ00";"96.3";"1.9";"1.9";"13264";"53.5";"53.5";"256282";"3399"
"1545";"PV26  ";"2015JJ00";"100";"3.9";"3.9";"15400";"16.1";"16.1";"264382";"4071"
"1550";"PV26  ";"2016JJ00";"106.3";"6.3";"6.3";"18290";"18.8";"18.8";"282981";"5176"
"1555";"PV26  ";"2017JJ00";"116";"9.1";"9.1";"18688";"2.2";"2.2";"316244";"5910"
"1560";"PV26  ";"2018JJ00";"126";"8.6";"8.6";"16756";"-10.3";"-10.3";"349404";"5855"
"1565";"PV26  ";"2019JJ00";"134.5";"6.8";"6.8";"17332";"3.4";"3.4";"371727";"6443"
"1570";"PV26  ";"2020JJ00";"144.9";"7.7";"7.7";"18120";"4.5";"4.5";"404811";"7335"
"1626";"PV27  ";"2005JJ00";"97";"3.8";"3.8";"34239";"10.2";"10.2";"247406";"8471"
"1631";"PV27  ";"2006JJ00";"102.4";"5.6";"5.6";"35127";"2.6";"2.6";"263306";"9249"
"1636";"PV27  ";"2007JJ00";"109.4";"6.9";"6.9";"34217";"-2.6";"-2.6";"285839";"9781"
"1641";"PV27  ";"2008JJ00";"115.1";"5.1";"5.1";"31167";"-8.9";"-8.9";"295730";"9217"
"1646";"PV27  ";"2009JJ00";"111";"-3.6";"-3.6";"22166";"-28.9";"-28.9";"273913";"6072"
"1651";"PV27  ";"2010JJ00";"107.8";"-2.8";"-2.8";"22690";"2.4";"2.4";"275914";"6260"
"1656";"PV27  ";"2011JJ00";"106.4";"-1.3";"-1.3";"22025";"-2.9";"-2.9";"279072";"6147"
"1661";"PV27  ";"2012JJ00";"99.6";"-6.4";"-6.4";"21010";"-4.6";"-4.6";"258872";"5439"
"1666";"PV27  ";"2013JJ00";"92.5";"-7.1";"-7.1";"20358";"-3.1";"-3.1";"243147";"4950"
"1671";"PV27  ";"2014JJ00";"95";"2.7";"2.7";"30225";"48.5";"48.5";"257128";"7772"
"1676";"PV27  ";"2015JJ00";"100";"5.3";"5.3";"35378";"17";"17";"273911";"9690"
"1681";"PV27  ";"2016JJ00";"108.2";"8.2";"8.2";"39443";"11.5";"11.5";"301899";"11908"
"1686";"PV27  ";"2017JJ00";"119.8";"10.7";"10.7";"39849";"1";"1";"333082";"13273"
"1691";"PV27  ";"2018JJ00";"132.7";"10.8";"10.8";"34949";"-12.3";"-12.3";"373688";"13060"
"1696";"PV27  ";"2019JJ00";"141.7";"6.7";"6.7";"35702";"2.2";"2.2";"396601";"14159"
"1701";"PV27  ";"2020JJ00";"150.9";"6.5";"6.5";"38023";"6.5";"6.5";"424553";"16143"
"1757";"PV28  ";"2005JJ00";"106";"4.1";"4.1";"46171";"5.6";"5.6";"213568";"9861"
"1762";"PV28  ";"2006JJ00";"110.1";"3.9";"3.9";"46131";"-0.1";"-0.1";"225806";"10417"
"1767";"PV28  ";"2007JJ00";"113.9";"3.4";"3.4";"45709";"-0.9";"-0.9";"235504";"10765"
"1772";"PV28  ";"2008JJ00";"117.3";"3.1";"3.1";"40933";"-10.4";"-10.4";"242050";"9908"
"1777";"PV28  ";"2009JJ00";"113.6";"-3.1";"-3.1";"29382";"-28.2";"-28.2";"227133";"6674"
"1782";"PV28  ";"2010JJ00";"111.1";"-2.2";"-2.2";"27793";"-5.4";"-5.4";"230543";"6407"
"1787";"PV28  ";"2011JJ00";"109.2";"-1.7";"-1.7";"26328";"-5.3";"-5.3";"232987";"6134"
"1792";"PV28  ";"2012JJ00";"102.2";"-6.4";"-6.4";"24917";"-5.4";"-5.4";"219399";"5467"
"1797";"PV28  ";"2013JJ00";"95.9";"-6.1";"-6.1";"23116";"-7.2";"-7.2";"211626";"4892"
"1802";"PV28  ";"2014JJ00";"97.1";"1.2";"1.2";"31269";"35.3";"35.3";"217573";"6803"
"1807";"PV28  ";"2015JJ00";"100";"3";"3";"37498";"19.9";"19.9";"221441";"8304"
"1812";"PV28  ";"2016JJ00";"105.2";"5.2";"5.2";"46512";"24";"24";"232144";"10797"
